,SS siCtrl set 1,SS siCtrl set 2,SS siCtrl set 3,SS siCtrl set 4,SS siChchd10 set 1,SS siChchd10 set 2,SS siChchd10 set 3,SS siChchd10 set 4,AA siCtrl set 1,AA siCtrl set 2,AA siCtrl set 3,AA siCtrl set 4,AA siChchd10 set 1,AA siChchd10 set 2,AA siChchd10 set 3,AA siChchd10 set 4
TrnP,412,513,512,457,395,420,423,463,552,473,489,471,474,539,430,657
TrnT,17,21,25,17,20,21,28,27,30,35,28,35,36,29,22,30
CYTB,115653,152656,148946,119383,157737,184033,185403,149675,175743,149343,169290,167433,209422,219667,151035,258959
TrnE,93,102,111,104,193,226,211,233,308,247,272,262,724,801,499,880
ND6,11548,14309,14086,11883,13921,16165,16695,14083,18913,16518,17548,17027,29249,30810,21075,34589
ND5,46212,60071,60565,48391,58075,67776,69408,57734,73692,67666,70896,69970,116213,122797,82986,133902
TrnL2,379,485,497,353,461,508,571,391,519,505,504,463,607,646,475,791
TrnS2,105,159,145,132,129,179,182,147,172,162,173,164,204,225,149,275
TrnH,66,80,109,61,109,90,104,90,123,124,103,117,150,143,80,180
ND4,34695,45562,44896,36645,47058,54828,54934,44357,50594,43007,43961,46297,69246,69770,44659,81076
ND4L,35,40,32,36,33,42,52,35,22,19,25,22,29,32,16,25
TrnR,46,111,65,65,76,68,71,53,3,2,1,0,0,0,0,2
ND3,568,820,801,569,668,907,972,715,79,38,20,24,25,44,30,58
TrnG,86,111,141,122,113,176,174,119,7,0,0,0,0,0,1,0
COX3,206,319,219,223,241,225,235,214,235,221,223,196,173,238,195,319
ATP6,224,323,259,222,229,201,267,210,315,214,229,181,189,188,176,306
ATP8,30,58,37,39,42,37,56,42,60,52,35,56,27,42,30,71
TrnK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COX2,236,362,246,246,227,262,236,189,249,228,183,232,188,211,172,315
TrnS1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
COX1,329077,444165,408933,353321,355729,386731,396530,358671,380541,335092,352568,345740,358288,388783,299377,453154
TrnY,39,45,48,35,65,57,48,40,122,98,129,91,117,118,84,144
TrnC,126,184,155,174,164,125,177,178,289,283,278,264,251,316,177,372
TrnN,179,282,263,235,199,212,271,210,440,403,406,374,363,412,362,488
TrnA,36,45,57,39,70,63,86,74,110,123,99,103,89,74,66,95
TrnW,30,28,43,35,45,46,47,62,89,90,81,76,50,63,42,66
ND2,60101,76018,73798,62336,76546,89454,88355,78830,69373,57161,58146,58642,90856,97949,74532,124341
TrnM,17,28,43,8,28,52,35,25,23,37,32,37,60,42,43,35
TrnQ,19,18,22,21,35,17,32,23,29,39,40,42,39,42,31,58
TrnI,40,43,59,46,51,51,79,51,79,69,52,44,78,83,56,94
ND1,95630,120344,118265,97562,100448,111928,119828,99545,106073,88488,94815,92190,113873,125193,90721,165268
TrnL1,134,182,194,175,242,294,251,285,277,243,246,311,321,338,149,397
mt-Rnr2,39059,39717,38965,34568,36247,39325,44870,41957,80186,61285,63449,64862,89076,97469,83046,113332
TrnV,4,2,5,1,11,1,6,4,21,14,12,9,14,12,10,16
mt-Rnr1,18132,23004,20080,17471,12908,13376,15007,15154,25318,22534,22260,22135,27119,32232,29294,34109
TrnF,2,2,0,0,2,1,2,0,6,4,3,8,3,4,6,3
Cbx7,474,716,673,544,556,555,518,517,410,415,375,368,259,283,259,401
Apobec3,2835,3257,3405,3157,3196,3152,3452,3083,4936,4805,4635,4683,4645,4663,4428,7628
Pacs2,1987,2821,2570,2248,1914,1973,1937,1843,2950,2920,2859,2673,2048,2125,1951,3169
Tex22,1,3,1,3,3,3,2,0,3,3,3,0,3,3,2,4
Mta1,7527,10053,9237,8965,7459,7422,7736,7525,8174,8234,7799,7434,5540,5992,5680,8552
F930026P19Rik,3,2,3,4,3,4,3,6,24,34,32,33,27,10,14,15
Crip2,1549,1790,1835,1739,1456,1569,1518,1473,309,204,208,192,176,189,199,273
Gm30599,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0
Crip1,207,253,221,265,287,279,266,324,175,119,141,100,118,110,125,258
Tedc1,1083,1319,1459,1272,1283,1281,1513,1486,1163,1065,1031,877,1066,1144,992,1853
Mup20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm12909,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mup21,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Zfp37,330,402,466,322,315,413,442,309,181,170,150,165,301,341,229,429
Gm30451,2,3,2,3,0,0,1,2,0,1,0,1,1,3,1,3
LOC108168693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mup-ps21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mup-ps18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mup5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Mup-ps16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mup19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Mup13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mup9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mup2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mup-ps1,1,2,1,1,0,2,0,0,0,1,1,0,4,2,0,3
Mup6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mup4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slc46a2,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1
Snx30,1117,1651,1437,1304,1381,1400,1405,1182,3314,3479,3125,2962,3356,3451,3201,5106
Slc1a1,1,0,0,0,0,2,0,0,0,1,0,1,0,2,0,2
Igf2r,7246,10220,10382,8218,13143,13811,11917,11513,18750,20024,19125,17813,23284,23138,20407,29248
Gm7162,86,153,129,91,159,180,105,111,85,101,88,77,74,32,44,95
Mas1,12,21,18,6,4,24,10,10,5,4,7,1,4,4,4,4
Airn,317,495,465,284,462,579,387,382,197,186,148,173,123,99,95,174
Rcc2,13764,16331,17088,16174,13604,14136,15578,14950,15143,14630,14161,13145,14298,15447,14489,21174
Padi6,1,0,1,0,1,1,0,2,0,0,0,0,0,0,0,0
Padi4,29,50,39,40,34,41,53,45,10,8,7,1,12,16,22,15
Gm52482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Padi3,53,40,58,39,55,73,63,76,4,4,1,8,9,8,10,7
Gm13032,11,7,18,7,9,6,11,10,0,0,0,0,2,4,2,2
Padi1,200,171,226,237,168,160,224,184,28,12,7,7,8,7,7,10
4930515B02Rik,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Gm46719,0,3,0,1,1,1,1,0,1,1,0,1,0,0,0,0
Gm26226,8,7,10,9,15,23,15,15,17,25,26,19,15,13,11,24
Gm34375,14,25,24,12,42,28,27,19,52,60,55,64,33,36,25,52
Padi2,6010,6736,7235,7081,10599,11554,11128,10984,4721,4654,4469,4320,4202,4922,3996,5805
Gm13031,12,20,8,8,19,8,15,8,12,12,9,18,20,27,12,21
Tcl1b5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Tcl1b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tcl1b2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3
Gm4325,32,73,54,65,50,75,61,47,2,0,0,0,0,0,0,0
Gm5967,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Olfr128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Gm18737,0,1,2,0,0,0,0,1,1,1,1,1,1,1,1,2
Olfr126,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm9577,2,1,1,3,0,3,0,1,1,3,0,1,1,5,3,0
Gm7335,9,14,12,15,6,7,7,10,12,9,12,13,12,14,5,11
Olfr118,0,2,0,0,3,1,0,1,0,0,0,0,0,0,0,0
Olfr115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Olfr110,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
H2-M2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr760-ps1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr758-ps1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Olfr104-ps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr102,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
LOC115488843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr101,1,0,0,0,2,1,0,0,0,0,1,0,0,0,0,1
Olfr756-ps1,0,0,0,2,0,1,1,1,2,1,1,2,0,3,0,0
Olfr99,4,18,11,4,7,6,4,7,6,5,6,4,11,3,7,15
Olfr755-ps1,4,5,2,1,1,0,1,1,4,1,2,2,1,1,1,4
H2-M3,480,641,549,500,295,300,320,324,342,330,330,330,163,126,166,294
Olfr95,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ubd,10,12,7,5,10,6,9,13,0,1,0,0,2,7,3,6
Gm7031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Vhl-ps1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm19807,0,0,0,0,1,0,0,2,0,0,1,0,0,1,0,3
Olfr92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr91,1,6,1,6,3,1,5,1,1,3,4,13,2,0,1,0
Olfr90,1,8,5,3,4,1,0,1,2,4,2,4,3,1,1,1
Gabbr1,2709,4706,3837,3194,3201,3286,2957,2929,2943,3006,2968,3008,756,678,783,1479
Mog,16,36,33,24,18,27,11,14,80,93,106,77,30,27,35,70
Zfp57,2456,4211,3260,2756,3390,3361,3406,2861,5861,6052,5826,6175,3114,2745,2801,5356
H2-M5,47,42,35,20,35,30,30,22,43,61,45,61,35,28,33,56
H2-M4-ps,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2410137M14Rik,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
Znrd1as,362,437,404,380,452,468,521,486,328,318,311,257,354,419,388,665
Znrd1,773,1035,964,972,842,927,1015,967,955,913,837,843,809,837,773,1423
Ppp1r11,1844,2155,2014,2003,1816,1934,2134,2106,1990,1907,1916,1815,1867,2137,1899,3189
Gm33595,97,171,147,88,142,129,143,99,295,355,311,387,119,108,97,227
Rnf39,803,1277,971,1023,1078,1129,1194,1164,2669,3325,2919,3074,1573,1619,1529,2548
1700031A10Rik,0,1,1,0,1,0,2,2,0,1,0,4,1,3,0,0
Trim31,1,11,9,4,10,5,9,1,11,7,16,11,6,2,7,14
Trim40,155,337,238,150,184,176,152,157,369,519,401,456,82,63,84,171
Gm4276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trim10,1,2,0,1,3,2,4,3,3,2,9,2,1,1,3,7
Trim15,23,40,33,19,26,37,27,23,74,96,74,67,78,65,52,92
Gm25973,1,1,2,1,5,5,1,2,2,5,1,4,4,0,2,2
Trim26,1969,2600,2551,2353,1954,2007,1995,1876,2619,2909,2787,2687,2148,2097,2184,3344
H2-M10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm4271,1,3,1,2,3,0,0,1,0,0,0,0,0,0,0,0
Gm8877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H2-M1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
H2-M9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Gm18809,5,1,3,3,0,2,2,7,0,0,1,0,0,0,1,2
H2-M10.4,0,1,0,2,1,5,2,1,0,0,0,0,0,0,0,1
Obox3-ps8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm33257,28,47,34,33,37,40,38,36,116,116,112,116,111,96,102,203
H2-M10.2,2,7,10,1,4,5,1,1,14,14,12,9,20,6,6,15
Trim39,1317,1834,1912,1349,1785,1867,1841,1607,2027,1995,2050,2028,1540,1483,1417,2836
Rpp21,881,1143,1050,1082,1135,1054,1166,1161,1231,1025,1143,1060,1027,1066,961,1791
Gm4252,5,3,2,1,1,4,1,4,6,5,3,6,3,3,2,13
Gm18604,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
Gm5682,0,0,3,2,1,0,1,1,1,0,0,4,0,0,0,0
Gm4246,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0
H2-T3,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1
Gm6623,0,2,2,2,1,1,1,2,2,1,0,0,0,0,1,2
H2-Bl,2,2,8,3,1,1,3,5,0,0,0,3,0,3,0,0
Gm6034,1,0,3,0,2,1,0,0,0,1,0,3,3,0,2,4
H2-T22,2061,2497,2227,2246,2237,2166,2230,2141,1916,1796,1857,1599,1786,2274,1964,3043
H2-T23,679,913,779,811,1769,1787,1654,1865,1613,1673,1845,1495,2935,3678,3238,5116
Gm11127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H2-T24,514,663,720,597,773,900,804,769,468,489,477,476,543,512,498,713
Gnl1,3145,3738,3917,3702,3196,3239,3608,3440,2912,2533,2428,2328,2846,3143,2747,4279
Prr3,615,752,728,623,689,706,601,691,612,621,585,580,631,702,613,1020
Mir877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abcf1,9175,10974,10933,10894,9483,10015,10749,10218,7962,7381,6712,6649,8089,9030,8343,12962
Gm8801,1,1,1,7,2,3,3,0,4,5,3,8,5,0,2,7
Rbx1-ps,17,15,14,21,13,18,18,20,13,8,12,15,8,17,21,18
Ppp1r10,3120,3495,4156,3565,3782,4077,4148,3754,4883,5014,4817,4617,5397,5627,5128,7431
Mrps18b,1094,1294,1309,1291,977,1141,1225,1057,1029,976,1019,946,1145,1191,1148,1882
Gm16279,3,0,1,0,1,5,0,1,3,2,5,1,4,1,1,9
Atat1,1001,1542,1314,1159,1648,1640,1545,1384,1193,1134,1164,1083,1105,1085,1077,1769
2310061I04Rik,1495,1879,1696,1738,1506,1573,1623,1545,1375,1392,1337,1280,1101,1224,1073,1840
Dhx16,3188,4207,4029,3867,3804,3971,4083,3873,3144,2952,2978,2697,2727,2969,2682,4559
Ppp1r18,3991,5179,5018,4716,4094,4304,4522,4233,4127,4214,4176,4061,3307,3485,3477,5264
Nrm,794,1084,1008,956,777,814,856,910,1000,963,1028,991,704,721,654,1049
Mdc1,8617,10574,11240,9717,9295,9891,10237,9739,8064,7454,7155,6823,7572,7934,7433,11293
Tubb5,80325,96241,94966,93897,78792,80015,89476,85124,56993,51719,50404,45755,54035,58630,55381,81305
Flot1,4718,6754,5403,5555,5171,5117,5509,5438,2646,2530,2265,2077,1524,1851,1672,2623
Ier3,5205,6884,6004,6059,5643,5416,6202,6093,3580,3357,3258,3017,2128,2470,2216,3704
Gm32409,3,26,23,10,18,17,9,16,14,1,6,1,0,3,1,6
4833427F10Rik,6,7,6,3,6,3,8,3,1,1,2,0,3,0,0,0
Gm4577,1,0,0,0,0,1,0,2,1,0,1,0,2,0,0,6
Ddr1,6962,8708,8866,8438,9913,10120,9551,9632,7003,6917,6492,5806,7297,7816,7495,10479
Gtf2h4,1393,1693,1714,1628,1481,1485,1531,1555,1768,1523,1532,1353,1475,1576,1544,2208
Vars2,3103,4174,3845,3625,3812,3742,3764,3518,3713,3745,3669,3186,2868,2927,2914,4250
Sfta2,5,8,14,7,22,23,16,19,49,43,50,45,64,91,87,138
Mucl3,166,205,228,189,162,237,221,208,119,79,93,94,160,205,150,241
Gm9573,1,0,1,3,1,1,5,0,0,0,0,0,0,2,0,0
2300002M23Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cdsn,566,635,692,608,697,712,632,626,757,738,612,610,1030,1078,994,1577
Psors1c2,6,8,13,10,10,12,9,14,34,33,24,36,15,10,5,25
Cchcr1,1745,2831,2572,2056,2461,2514,2446,2277,3141,2932,3018,2843,1727,1717,1578,2981
H2-Q10,14,23,33,23,54,60,34,75,2,3,2,0,0,0,1,9
Gm8752,4,2,0,2,3,1,0,1,1,1,0,1,1,1,3,0
H2-Q7,10,25,31,21,31,22,29,18,5,3,0,2,1,0,1,0
H2-Q6,7,10,12,9,5,11,8,9,2,2,0,2,6,1,1,0
Gm8750,1,4,1,1,2,1,3,4,13,3,1,2,3,4,4,6
H2-Q4,134,195,162,132,200,192,197,209,27,14,25,22,16,12,12,23
H2-Q2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Gm8741,16,25,15,29,16,7,26,23,15,6,14,7,13,12,15,15
H2-Q1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
Gm18734,0,2,3,3,3,2,0,3,4,7,2,5,1,5,1,4
Gm18733,24,40,39,34,41,35,34,40,14,22,17,22,36,46,33,45
H2-D1,7353,9945,8866,8667,8437,8319,8519,8393,7237,6993,6869,5974,8346,9481,8364,13056
Mir8094,13,9,13,13,9,11,12,8,11,8,7,13,7,7,2,11
Gm25128,3,11,8,1,7,2,1,3,7,7,6,6,10,1,1,7
Mir6975,0,0,0,1,0,0,0,0,6,1,2,1,1,0,0,0
LOC115488830,3,10,6,4,8,13,6,12,18,20,37,28,15,10,21,20
Ddx39b,7555,8788,9478,8161,8720,8933,9360,9027,10499,10514,10269,9727,9998,10714,9720,15314
Atp6v1g2,90,137,106,95,141,128,154,128,156,163,156,163,201,210,230,359
Nfkbil1,725,970,926,811,800,839,864,764,840,826,779,672,790,909,819,1245
Lta,1,5,0,2,6,5,1,5,327,347,329,315,151,179,146,304
Tnf,0,0,0,0,0,0,0,0,6,7,2,2,0,2,2,6
Mir6973a,6,6,9,7,3,11,5,3,7,9,14,5,3,2,5,10
Ltb,249,226,292,255,260,254,262,299,192,201,146,139,136,132,130,239
Lst1,30,29,20,21,20,19,16,32,9,12,16,14,2,8,6,15
Ncr3-ps,14,15,16,10,19,19,22,13,18,11,13,5,4,5,5,6
Aif1,5,11,13,11,17,15,3,12,4,7,9,12,5,6,5,10
Gm23442,1,2,5,6,6,5,1,1,7,7,4,5,3,4,1,2
Prrc2a,29565,38595,41470,36597,36787,39087,38175,37586,34946,35891,34445,32390,34245,35356,33193,47821
Bag6,11217,14085,14721,13783,14343,14087,13967,13283,12896,12700,12127,11413,12917,14579,12892,18002
Apom,14,13,20,16,12,23,21,17,20,31,31,26,34,37,32,52
D17H6S53E,507,589,592,487,562,550,628,561,663,683,626,602,762,808,734,1195
Gm20522,5,8,6,8,9,12,13,13,14,6,11,9,16,18,9,22
Gpank1,500,684,637,630,542,566,634,635,498,493,421,426,423,455,451,701
Csnk2b,1349,1592,1571,1606,1472,1523,1762,1460,1375,1364,1268,1253,1444,1620,1606,2137
Ly6g5b,37,39,53,47,54,39,46,49,47,50,51,53,46,45,40,70
Ly6g5c,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0
Abhd16a,638,791,762,740,917,922,967,842,1284,1130,1133,1026,1859,2065,1795,2722
Ly6g6f,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0
Ly6g6e,0,0,1,0,0,0,0,3,0,1,3,0,3,2,0,2
Ly6g6d,3,5,6,10,8,11,12,7,29,45,33,30,55,74,56,98
Ly6g6c,4,0,0,1,3,0,3,3,0,0,2,1,3,3,7,8
G6bos,1,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0
Mpig6b,0,0,5,0,0,1,1,2,6,2,2,1,12,7,7,8
Ddah2,622,805,758,771,670,631,713,639,301,200,221,259,94,101,73,208
Clic1,14825,17655,16882,17044,15209,15163,16512,15953,13945,12814,12867,11730,12047,13750,12350,19951
Gm23421,1,2,0,1,2,0,3,1,4,3,3,2,5,3,2,7
Msh5,93,163,139,75,183,162,173,146,239,246,269,292,205,177,144,305
Gm52318,1,0,2,0,0,0,4,2,0,2,1,2,0,0,0,0
Sapcd1,9,25,14,13,14,9,13,5,51,52,45,45,17,10,11,22
Vwa7,25,51,59,37,82,71,65,65,99,141,110,118,48,33,28,53
Vars,18577,24169,24806,23132,19526,20208,21115,19766,17140,16301,16135,15213,13525,14779,13315,19277
D17H6S56E-5,16413,18406,20440,18611,21052,23150,23420,22271,12495,11293,10871,10181,14889,15835,14104,22094
Lsm2,1866,2202,2174,2121,1586,1797,1923,1971,1431,1411,1307,1191,1475,1737,1429,2322
Hspa1l,258,275,335,261,301,337,281,338,306,329,336,355,342,349,308,586
Hspa1a,63,84,70,73,98,108,104,72,72,61,50,41,101,145,94,181
Hspa1b,890,1049,1128,1151,1083,941,1044,989,861,807,827,612,1072,1167,1027,1578
Gm8696,5,2,2,0,2,0,0,0,2,1,2,2,2,0,0,2
LOC115488834,29,70,49,66,34,40,34,36,56,75,55,67,35,22,35,80
Snord52,52,96,83,65,75,48,90,55,96,99,96,91,53,42,40,95
1110038B12Rik,2072,3323,2507,2513,2311,2279,2437,2334,2931,2867,2816,2667,2103,2232,2030,3654
Neu1,3122,4572,3741,3498,4421,4374,4332,4135,3166,2988,2985,2714,2795,3215,2889,4456
Slc44a4,25,13,26,24,98,117,98,99,15,19,6,13,23,49,38,37
Ehmt2,11445,14361,14196,13676,12960,13716,13354,12891,14557,14160,13641,12643,13376,14687,13779,20688
Zbtb12,1719,2105,2029,2023,1754,1784,1678,1732,2007,2149,2006,1839,1861,1886,1761,3035
C2,16,30,26,12,49,39,29,36,768,953,774,766,1082,1294,1097,1765
Mir6972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cfb,763,783,854,829,1677,1653,1517,1611,2695,2736,2543,2399,4478,5089,4650,6655
Nelfe,2877,3379,3216,3233,3270,3503,3716,3661,2379,2114,2157,2030,2409,2839,2648,3981
Skiv2l,1821,2455,2490,1999,2416,2427,2372,2165,3401,3580,3462,3232,2233,2336,2069,3686
Dxo,555,651,687,601,627,672,750,689,839,775,762,686,687,770,710,1138
Stk19,378,554,569,475,516,505,505,465,437,383,391,392,367,377,339,665
C4a,38,67,48,45,56,43,81,52,157,190,169,153,80,68,80,151
Cyp21a1,35,93,65,72,163,152,176,183,23,15,20,20,21,27,13,36
Tnxa,2,2,0,0,1,2,1,0,3,0,2,1,1,4,0,3
Stk19-ps1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C4b,2,4,7,13,16,8,6,12,2,3,3,3,1,0,1,1
Cyp21a2-ps,2,2,1,2,2,1,3,1,1,0,0,1,0,1,2,1
Tnxb,581,871,920,702,1288,1253,1005,996,1677,1716,1640,1652,1525,1691,1454,2252
Atf6b,2524,3184,3113,3079,2454,2766,2750,2709,3519,3433,3260,3044,3253,3539,3141,4827
Fkbpl,251,373,328,307,316,304,322,305,329,361,312,275,369,409,421,563
Prrt1,4,3,1,0,1,1,4,5,7,14,7,7,11,11,21,28
Ppt2,1531,1775,1873,1831,1801,2011,1851,1932,2934,2900,2807,2672,3259,3805,3226,4896
Egfl8,26,74,62,43,45,43,37,34,124,145,132,125,45,33,36,77
Agpat1,4163,5116,5259,4875,4708,5034,5191,4915,5482,5519,5093,4845,5290,5866,5222,7573
Rnf5,2107,2585,2564,2368,2735,2759,2750,2581,2292,2156,2156,2081,2920,3360,2931,4551
Ager,48,60,73,48,52,54,59,49,257,249,239,264,382,410,370,587
Pbx2,2184,2986,2827,2629,2726,2661,2798,2501,3623,3654,3466,3289,3029,3308,3082,4775
Gpsm3,512,598,612,560,522,553,603,537,498,507,484,451,545,651,572,821
Notch4,84,105,99,134,116,95,107,91,81,82,83,90,56,71,59,114
Gm31560,3,2,0,0,0,0,0,1,116,130,116,88,97,65,56,114
Btnl7-ps,13,18,9,18,12,12,10,4,306,298,270,225,218,199,171,302
Btnl5-ps,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0
Btnl4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BC051142,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Gm15321,1,0,0,1,0,1,0,0,0,0,2,0,1,0,1,2
Btnl2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
H2-Ea,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
H2-Eb2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H2-Eb1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H2-Aa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H2-Ab1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
H2-Ob,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Tap2,208,304,258,235,219,217,203,181,245,244,222,192,177,202,159,257
Psmb8,58,70,60,68,39,38,28,32,14,1,4,7,4,3,2,1
Tap1,193,268,188,232,162,166,151,122,154,121,102,102,90,132,92,148
Psmb9,15,18,24,9,12,13,6,7,5,14,5,7,3,6,3,6
H2-DMb1,55,59,67,61,42,40,54,44,60,91,55,58,48,88,68,98
H2-DMb2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
H2-DMa,54,111,79,68,87,91,74,65,92,87,94,80,116,62,69,134
Brd2,11254,13444,13754,12734,12842,13666,13614,13236,11063,10400,10168,9396,10511,11487,10609,16660
H2-Oa,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
BC051537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Col11a2,289,456,428,267,400,344,351,301,2642,3076,2764,2702,1095,862,943,2021
Rxrb,2435,3259,3044,3062,2856,2931,3054,2979,2700,2428,2379,2301,2345,2464,2415,3380
Slc39a7,6570,7733,7604,7225,6936,7326,7813,7434,8209,7992,7765,7491,7648,8434,7691,12207
H2-Ke6,469,647,598,482,547,622,547,594,620,637,617,566,537,731,614,1026
Mir219a-1,0,0,0,0,0,0,1,0,3,1,0,0,0,4,1,0
Ring1,531,631,654,593,695,627,720,662,861,855,847,836,682,904,736,1075
H2-K1,6957,8989,8201,8022,8509,8365,8535,8625,5203,5089,4905,4049,4859,5267,4757,7555
H2-K2,102,173,146,98,170,122,160,152,335,352,317,288,121,124,114,251
Gm23111,0,0,1,0,2,5,0,0,0,0,0,1,0,0,0,1
Vps52,1909,2281,2413,2281,2440,2422,2427,2374,2776,2642,2516,2371,3128,3508,2975,4436
Rps18,31385,38725,33813,35663,30792,30352,36877,34530,26378,24068,24149,22260,22112,25022,23839,37751
B3galt4,76,131,110,89,122,113,115,130,27,30,30,20,48,43,27,65
Wdr46,2377,2713,2879,2695,2252,2359,2847,2699,2029,2029,1915,1803,2224,2543,2122,3403
Pfdn6,2448,2699,2705,2755,2375,2352,2827,2580,1862,1634,1600,1492,1898,2185,2017,3099
Rgl2,1096,1545,1459,1234,1407,1357,1309,1307,2018,2025,1862,1824,1346,1277,1207,2078
Tapbp,1976,2631,2578,2401,2952,2936,2632,2632,1857,1934,1891,1511,2430,2612,2266,3472
Gm19412,12,21,13,21,27,26,28,20,31,35,29,26,38,36,34,62
Zbtb22,845,1035,991,935,792,842,864,833,1010,892,861,796,831,879,836,1200
Daxx,1491,1908,1842,1661,1515,1607,1709,1608,1475,1351,1365,1160,1493,1583,1513,2236
BC051226,165,246,170,184,160,162,188,156,146,123,118,124,150,196,142,228
Smim40,1,0,4,0,1,0,0,1,0,1,4,0,2,2,4,5
Kifc1,3282,4109,4301,3707,3502,3694,4108,3786,3682,3509,3636,3253,2803,3008,2865,4468
Cd320,1194,1542,1451,1422,1182,1243,1413,1416,1360,1332,1317,1276,1498,1590,1406,2276
Ndufa7,3587,4079,3673,4274,3863,3727,3925,4186,3470,3074,3037,2693,3631,4385,3706,5990
