"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Fstl4",94.7229524974167,-0.778681294537395,0.119238168486129,-6.53047010385753,6.55635744361568e-11,8.74557794634022e-09
"A630001O12Rik",28.7595929206579,1.36214851739649,0.208779752447399,6.52433246724761,6.8305048539708e-11,9.0592010091807e-09
"Tns3",6206.3002240005,-0.552337805768123,0.0847172269816633,-6.51978145941526,7.04099013138124e-11,9.26281490956912e-09
"Sptbn2",170.245895575375,-0.99226030820532,0.152203613220558,-6.51929535186158,7.06384420074853e-11,9.26281490956912e-09
"Lims1",7465.22337394693,-0.221248906143471,0.0340059659475053,-6.50617913589075,7.70862966294058e-11,1.00515333975759e-08
"Glod5",237.916932547013,1.70626895579064,0.262625431614318,6.49696773576904,8.19550293294367e-11,1.0626682853275e-08
"Retreg1",3621.71043848099,0.40031811391523,0.0617903769841564,6.47864818850151,9.25480100589671e-11,1.19335517414924e-08
"Klf9",2438.91587085343,-0.338601601034442,0.0523037190838354,-6.47375764028773,9.55951931784206e-11,1.22583670368571e-08
"5830428M24Rik",44.9479544500385,1.16991888573445,0.1808625816313,6.46855129005846,9.89469333736039e-11,1.26184523274799e-08
"Pilrb2",14.0270150751251,2.91428538124005,0.450735861560915,6.46561684962845,1.00886409170714e-10,1.27954839172255e-08
"Galns",1882.20492355561,0.34845220549743,0.053951317936424,6.45864121258436,1.05647253200432e-10,1.33264823194675e-08
"Retreg2",4688.71151706885,0.252609605503203,0.0392759288351024,6.43166471157867,1.26213910739952e-10,1.58347290176989e-08
"Cyth3",1347.95812745787,-0.263932836399626,0.0410997803111296,-6.42175783913265,1.34709601680906e-10,1.67876433435463e-08
"Myadm",13182.1940222475,-0.306745244490526,0.0477753318140472,-6.42057800214659,1.35757885497656e-10,1.67876433435463e-08
"Zfyve9",2395.92028879217,-0.274553588155995,0.042763157862706,-6.42033006630306,1.35979187789173e-10,1.67876433435463e-08
"Zfp318",2031.12244613324,-0.272127995021179,0.0424307827663954,-6.41345686501689,1.42256379298446e-10,1.74696855212536e-08
"Slc44a3",1352.00269659034,0.668682039919822,0.104358882403999,6.40752396457438,1.47901845694042e-10,1.79804711901728e-08
"Selenbp2",594.893300730458,1.4803434533557,0.231034410217879,6.407458750234,1.47965101134123e-10,1.79804711901728e-08
"Gm31718",137.996555908126,0.737761841451207,0.115212598938779,6.4034823295952,1.51872439885234e-10,1.83591631757098e-08
"Serpinb5",45.0126609852077,2.16710857794461,0.338487159906654,6.40233614339239,1.53017312542048e-10,1.84017192958597e-08
"Gm31434",121.015877175706,1.06829154382786,0.166922158263447,6.39993847995789,1.55439568481238e-10,1.85966617755131e-08
"Spp2",85.1187587424941,2.10167407972193,0.328499598814557,6.39779801042726,1.5763362015096e-10,1.87318712786126e-08
"Aass",270.231487775189,0.560431388321729,0.0876048308447398,6.397265800501,1.58183833287724e-10,1.87318712786126e-08
"Tmem260",609.195397569613,0.781020936890431,0.122260010865131,6.38819620057125,1.67853892682617e-10,1.97760855287489e-08
"Ppp3ca",3179.83475337223,-0.628028644229851,0.0984405473052221,-6.37977603154321,1.77347156366971e-10,2.07890277741283e-08
"1700016C15Rik",303.288866240068,0.663245549293597,0.103980455695757,6.37855974813411,1.78761103630319e-10,2.08494734435161e-08
"Tsc1",3222.10044315615,-0.194127038496896,0.0304634051279725,-6.37246682310776,1.86011667560428e-10,2.15866540203877e-08
"Hsdl1",2012.22084996061,-0.329788001650798,0.051997179008141,-6.34242103017098,2.26182157424879e-10,2.61178501185644e-08
"Blvrb",499.919633910632,-0.6164802900403,0.0972741245209617,-6.33755680738565,2.33437153364243e-10,2.68221600474459e-08
"Foxa3",711.322201701731,0.747046411152611,0.118018642481248,6.32990174642372,2.45317359994008e-10,2.80483543126154e-08
